Product Number,Month Num,Predicted Demand with Noise,Adjusted Predicted Demand
GLOSZ,10,108.15236395764202,108.00975492189954
GLOSZ,2,114.04395456940644,113.60676600307573
GLOSZ,3,79.9991127997783,81.26416632192901
GLOSZ,12,131.05755174943306,129.76968332410104
GLOSZ,1,89.8737558694217,90.64507723809024
GLOSZ,8,113.33622896985892,112.93442668350559
GLOSZ,7,97.43026354918432,97.82375953386472
GLOSZ,11,116.59151037717724,116.02694402045799
GLOSZ,5,93.46774230495794,94.05936435184965
GLOSZ,9,115.82462098245024,115.29839909546735
GLOSZ,4,107.2358482785181,107.13906502673181
GLOSZ,6,96.58924550568136,97.02479239253691
ZHLNC,9,104.77287848067212,104.6681501529567
ZHLNC,10,118.9644286673075,118.15012283026032
ZHLNC,12,137.60602079727497,135.8596353537294
ZHLNC,3,85.45281346902608,86.31408839189297
ZHLNC,1,90.3433764980607,90.96012326947586
ZHLNC,4,100.72535737666747,100.82300510415229
ZHLNC,7,101.4820188566228,101.54183351010984
ZHLNC,6,83.49538522808352,84.45453156299753
ZHLNC,11,124.74472693679289,123.64140618627142
ZHLNC,8,102.30850816472332,102.32699835280533
ZHLNC,5,93.12141748520624,93.5992622072641
ZHLNC,2,89.12281115592923,89.80058619445096
JXAQR,2,92.91507753833704,93.21027738565991
JXAQR,3,101.09893238375912,100.98493948881088
JXAQR,8,106.06818956820196,105.70573381403157
JXAQR,9,98.80253821364772,98.80336502720505
JXAQR,4,100.36652691819825,100.28915429652805
JXAQR,10,107.61498651446604,107.17519091298246
JXAQR,12,93.10400784058815,93.38976117279846
JXAQR,1,78.51998176838275,79.53493640420332
JXAQR,6,105.22417618128306,104.90392109645862
JXAQR,11,114.13596696591628,113.37012234186018
JXAQR,7,95.35075608311249,95.52417200319658
JXAQR,5,92.6277538416405,92.93731987379819
VODQA,10,111.8290689161954,111.39162116938357
VODQA,7,102.23594374971952,102.2781522612315
VODQA,9,126.65028228896158,125.47177387351144
VODQA,8,107.80625902839496,107.56995177597315
