Product Number,Month Num,Predicted Demand with Noise
GLOSZ,10,108.15236395764202
GLOSZ,2,114.04395456940645
GLOSZ,3,79.9991127997783
GLOSZ,12,131.05755174943306
GLOSZ,1,89.8737558694217
GLOSZ,8,113.33622896985892
GLOSZ,7,97.43026354918433
GLOSZ,11,116.59151037717723
GLOSZ,5,93.46774230495794
GLOSZ,9,115.82462098245024
GLOSZ,4,107.2358482785181
GLOSZ,6,96.58924550568136
ZHLNC,9,104.77287848067212
ZHLNC,10,118.9644286673075
ZHLNC,12,137.60602079727497
ZHLNC,3,85.45281346902608
ZHLNC,1,90.3433764980607
ZHLNC,4,100.72535737666747
ZHLNC,7,101.4820188566228
ZHLNC,6,83.49538522808352
ZHLNC,11,124.74472693679289
ZHLNC,8,102.30850816472332
ZHLNC,5,93.12141748520625
ZHLNC,2,89.12281115592923
JXAQR,2,92.91507753833703
JXAQR,3,101.09893238375912
JXAQR,8,106.06818956820196
JXAQR,9,98.80253821364772
JXAQR,4,100.36652691819825
JXAQR,10,107.61498651446605
JXAQR,12,93.10400784058817
JXAQR,1,78.51998176838275
JXAQR,6,105.22417618128306
JXAQR,11,114.13596696591628
JXAQR,7,95.35075608311247
JXAQR,5,92.6277538416405
VODQA,10,111.82906891619541
VODQA,7,102.23594374971951
VODQA,9,126.65028228896158
VODQA,8,107.80625902839496
VODQA,6,104.67468959832304
VODQA,12,107.9096531615281
VODQA,4,105.5821520595715
VODQA,11,114.23696570608395
VODQA,2,80.18634503941723
VODQA,5,93.09972157653584
VODQA,3,106.00549780889928
VODQA,1,76.7447888258766
UHXML,3,84.62177249538172
UHXML,9,117.28130952869776
UHXML,1,97.42826911369437
UHXML,11,139.3176955067629
UHXML,5,121.05724738038404
UHXML,12,139.0269914203028
UHXML,4,79.7129176227764
UHXML,2,89.53454564327792
UHXML,6,99.65474947814657
UHXML,10,112.33100485954566
UHXML,7,74.46849862579403
UHXML,8,111.81991659918626
XVCIK,11,122.08740943366466
XVCIK,7,105.27358468282986
XVCIK,10,98.54429049647307
XVCIK,9,109.45383744961248
XVCIK,12,122.03974693372236
XVCIK,3,98.39065114823663
XVCIK,5,121.21246754970687
XVCIK,6,101.57497014984463
XVCIK,4,89.92482895517136
XVCIK,8,120.2083820883633
XVCIK,2,94.99625077785058
XVCIK,1,92.40488726986656
PCVUK,8,107.04547479589922
PCVUK,4,105.70303613120173
PCVUK,2,108.16352391384756
PCVUK,3,108.7904128793677
PCVUK,7,106.57842293775123
PCVUK,10,106.27603657197005
PCVUK,6,100.7914072064324
PCVUK,5,90.49808540111711
PCVUK,9,129.07713921345555
PCVUK,1,104.44673075133676
PCVUK,11,138.95019273925695
PCVUK,12,108.61350712495155
QGVDQ,12,118.31479496645507
QGVDQ,3,102.83123455772811
QGVDQ,6,98.29126453616703
QGVDQ,10,129.31044658410522
QGVDQ,4,97.38419341125798
QGVDQ,2,95.25999054040388
QGVDQ,7,107.9680163179326
QGVDQ,8,101.87681705570272
QGVDQ,1,82.32505949250789
QGVDQ,9,120.68498401796903
QGVDQ,11,112.28390992987364
QGVDQ,5,101.81191215258696
MNKUJ,3,104.7087537804307
MNKUJ,6,105.45062034865984
MNKUJ,7,94.07072216237698
MNKUJ,2,96.86357782287226
MNKUJ,12,113.03666612883724
MNKUJ,8,103.83994249545108
MNKUJ,5,83.44410178908237
MNKUJ,11,129.87790992826712
MNKUJ,1,71.37350957962641
MNKUJ,10,120.40186649246132
MNKUJ,4,84.07745282020612
MNKUJ,9,94.22304834578907
ZTXRL,9,120.53385052224776
ZTXRL,10,132.02604110112853
ZTXRL,7,94.87366779437403
ZTXRL,2,97.41990136685001
ZTXRL,12,131.90153426631943
ZTXRL,4,95.86740120758604
ZTXRL,5,94.31656495638579
ZTXRL,1,91.64766668350636
ZTXRL,11,110.1646940569295
ZTXRL,3,105.24908518362732
ZTXRL,8,102.22361370504615
ZTXRL,6,108.77287370369731
NQFEV,10,105.05443089362099
NQFEV,2,85.84545246164608
NQFEV,6,97.97526256057199
NQFEV,1,87.49029870749365
NQFEV,11,118.08600302723539
NQFEV,3,96.73372351045889
NQFEV,12,133.44011228904424
NQFEV,5,118.05265645287342
NQFEV,8,96.33945770937218
NQFEV,7,106.18170043415229
NQFEV,9,107.20165629348269
NQFEV,4,91.79277820895959
YCTDN,6,109.59466098823637
YCTDN,7,97.57356853576219
YCTDN,10,99.03303218226372
YCTDN,11,140.3350164998585
YCTDN,9,100.85532471977176
YCTDN,1,88.81352427866487
YCTDN,5,93.61619620345978
YCTDN,12,123.42954887220536
YCTDN,2,94.13580689371672
YCTDN,8,97.32671741969224
YCTDN,4,87.10800642680368
YCTDN,3,108.68439819408653
AKMDJ,11,122.62555733936554
AKMDJ,1,86.30988161393078
AKMDJ,6,97.28494602028027
AKMDJ,12,117.34781167531699
AKMDJ,8,128.31781138266152
AKMDJ,3,94.02183758635545
AKMDJ,7,95.84683866696254
AKMDJ,5,82.92136113698126
AKMDJ,9,114.54077745865575
AKMDJ,2,88.6976507475492
AKMDJ,4,85.83090982916232
AKMDJ,10,108.44629155273891
HSEOM,11,105.26112935183522
HSEOM,1,99.8900765180095
HSEOM,7,98.34237098839164
HSEOM,12,112.85364352303816
HSEOM,2,74.53462378773843
HSEOM,4,102.61644240002536
HSEOM,10,123.7008585761196
HSEOM,8,96.75336929641693
HSEOM,3,90.54869373681125
HSEOM,5,126.89719726969953
HSEOM,6,99.21223609498071
HSEOM,9,137.00268033412843
FGGEB,1,79.36192458689973
FGGEB,7,106.94224488890251
FGGEB,9,117.77112750466249
FGGEB,5,98.50552565276658
FGGEB,11,95.1192624066353
FGGEB,4,116.95361095965984
FGGEB,6,121.26526012011249
FGGEB,8,103.02705094454268
FGGEB,2,95.62881714060546
FGGEB,12,123.47033359111346
FGGEB,10,98.08709647721915
FGGEB,3,86.8241918630223
ZXFQE,1,85.28709595899434
ZXFQE,7,104.04481768788047
ZXFQE,11,117.46755054689808
ZXFQE,5,100.73637857052375
ZXFQE,4,100.85948344304505
ZXFQE,3,103.25866945541873
ZXFQE,10,127.82415074253181
ZXFQE,9,109.67665763962376
ZXFQE,8,106.55042157676648
ZXFQE,12,114.1027103434344
ZXFQE,2,95.76635916601421
ZXFQE,6,102.3030432105348
LCHTU,11,115.48884756683816
LCHTU,9,107.12918701199513
